id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,groeneprijs,2plus1,dames,heren,junior,fashion,outdoor,uitrusting,camping,badmode,fietsen,"categorie",volgorde,actie
1,"Or Crew","Neck T-shirt Heren","Jack & Jones","J&J_OR-CREW-NECK_4312C52207_1010.jpg","/jack-jones-t-shirt-original-crew-4312c52207","","17,95","#CCCCCC #4A6786","Slechts",NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,"camping",1,NULL
2,"Camo","Herenshort","Jack & Jones","J&J_CAMO_4365C52002_5507.jpg","/jack-jones-short-camo-4365c52002","","39,95","camo1.jpg camo2.jpg","Slechts",NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,"camping",4,NULL
3,"Binno","Playsuit dames","Ichi","ICHI_BINNO-JUMPSUIT_4185C52005_4106.jpg","","59,95","39","binno1.jpg binno2.jpg","",1,NULL,1,NULL,7,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,"camping",7,NULL
4,"Berot","Damesshort","Only","ONLY_BEROT_4181C52025_1149.jpg","/only-short-berot-4181c52025","","16,95","berot1.jpg berot2.jpg berot3.jpg","2 voor &euro;25",1,NULL,NULL,NULL,10,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,"camping",10,NULL
5,"Selfiestick","Kit","Azuri","4T7A0113.jpg","","24,95","19","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,"camping",13,NULL
6,"Universal 180&deg;","Fish Eye lens","Black Eye","BLACK-EYE_UNIVERSAL-FISH-EYE_2g52c50007_0101_01_be_Ver1.jpg","/black-eye-e-gadget-the-original-180-fisheye-lens-2h61c52007","","29,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,"camping",16,NULL
7,"Clipper","Wide angle lens","Black Eye","BLACK-EYE_CLIPPER-WIDE-ANGLE_2g52c50008_0101_02_be_Ver1-copy.jpg","/black-eye-e-gadget-clipper-wide-angle-2h61c52008","","44,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,"camping",19,NULL
8,"Darwin 3","en Maxi Comfort Luchtmatras","Coleman","COLEMAN_DARWIN_3PLUS_MATRAS.jpg","/index.cfm/fuseaction/products.search/?searchvalue=coleman+aanbod","159,9","99","","Setprijs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,"camping",22,NULL
9,"Moji","Campinglamp","Black Diamond","BLACK-DIAMOND_MOJI_2541c50002_4040_01.jpg_be-copy.jpg","/black-diamond-lantaarn-moji-light-2931c52002","","19,95","#E6E546 #1A74B4","Gebruik je ecocheques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,25,NULL,NULL,"camping",25,NULL
10,"Hero 4 Silver","Camera","GoPro","GOPRO_4.jpg","/gopro-video-hero-4-silver-2E21D42002","","429","","Gratis bundle t.w.v. &euro;59,95",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,28,"camping",28,NULL
11,"Moore","Shirt Heren","Eider","EIDER_MOORE_3315C52049_6161.jpg","","64,95","39","#BAB2AF moore.jpg","",NULL,NULL,1,NULL,NULL,56,NULL,NULL,56,NULL,NULL,NULL,NULL,"travel",56,NULL
12,"Refractor","Duffle Pack","The North Face","THE-NORTH-FACE_REFRACTOR-DUFFEL-PACK_2146c50001_7070_01_be-copy.jpg","/the-north-face-trolley-refractor-duffle-pack-2261c52001","164,95","99","#323036","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,"travel",34,NULL
13,"Flyweight pack","Dagrugzak 17l","The North Face","THE-NORTH-FACE_FLYWEIGHT-PACK_2111c10013_7071_53.jpg","/the-north-face-dagrugzak-flyweight-2111C10013","44,95","29","#302F33","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,"travel",37,NULL
14,"No matter what","Flatbed 20 Trolley","Eagle Creek","EAGLE-CREEK_FLATBED20_2261D42006_7070.jpg","/eagle-creek-trolley-no-matter-what-flatbed-20-2261d42006","135","85","#302E34 #B83249 #165FAF","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,"travel",40,NULL
15,"No matter what","Flatbed 28 Trolley","Eagle Creek","EAGLE-CREEK_FLATBED28_2231D42027_3232.jpg","/eagle-creek-trolley-no-matter-what-flatbed-28-2231d42027","165","105","#302E34 #B83249 #165FAF","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,"travel",43,NULL
16,"No matter what","Flatbed 32 Trolley","Eagle Creek","EAGLE-CREEK_FLATBED32_2231D42028_4242.jpg","/eagle-creek-trolley-no-matter-what-flatbed-32-2231d42028?id_colour=4168","185","115","#302E34 #B83249 #165FAF","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,"travel",46,NULL
17,"No matter what","Flatbed 20/28/32","Eagle Creek","EAGLE_CREEK_SET_TROLLEYS.jpg","/index.cfm/fuseaction/products.search/?searchvalue=No+matter+what","485","229","#302E34 #B83249 #165FAF","Setprijs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,"travel",49,NULL
18,"Kodiak","Mini oplader","Outdoor Tech","OUTDOOR-TECH_KODIAK-OPLADER_2G32C52001_Vertical.jpg","/outdoor-tech-oplader-kodiak-mini-2g32c52001","24,95","15","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,52,NULL,NULL,"travel",52,NULL
19,"Totally Royal","Bag","Pieces","2125c50003_6565_01.jpg","/pieces-shopper-totally-royal-leather-travel-bag-2315c52003","134,95","85","","",NULL,NULL,1,NULL,53,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,"travel",53,NULL
20,"Ginger fiji","Jurk","King Louie","KING-LOUIE_GINGER-DRESS_4163C52076_4904.jpg","","79,95","55","king1.jpg king2.jpg","",1,NULL,1,NULL,55,NULL,NULL,55,NULL,NULL,NULL,124,NULL,"travel",55,NULL
21,"Esther","Damesshort","Terre Bleue","4T7A0172.jpg","","79","55","#959286 #E5C9C9","",1,NULL,1,NULL,58,NULL,NULL,58,NULL,NULL,NULL,58,NULL,"travel",58,NULL
22,"Blouse","","Yaya","YAYA_BLOUSE_4132C52068_5353.jpg","","39,95","25","yaya1.jpg yaya2.jpg","",1,NULL,1,NULL,61,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,"travel",61,NULL
23,"Smartphone Projector","","Luckies","LUCKIES_SMARTPHONE-PROJECTOR_2g31c50012_7015_02_be.jpg","/luckies-gadget-smartphone-projector-2h41c52060","","19,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,"travel",64,NULL
24,"Lazy Afternoon","Hangmat","Amazonas","Amazonas_Lazy-Afternoon_1311C30001_3040_01.jpg","/amazonas-hangmat-lazy-afternoon-1311c30001","29,95","19","hang1.jpg hang2.jpg hang3.jpg hang4.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,67,67,NULL,"camping",67,NULL
25,"Woodstock","Slaapzak","Ayacucho","AYACUCHO_WOODSTOCK_1322c40002_0303_01-copy.jpg","/ayacucho-slaapzak-woodstock-1322c40002","","29,95","wood1.jpg wood2.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,70,NULL,NULL,"camping",70,NULL
26,"Junior Vario","Slaapzak kids","Ayacucho","AYACUCHO_JUNIOR-VARIO_1321c20001_4040_02.jpg","/ayacucho-slaapzak-junior-vario-1321c20001","","49,95","","",NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,73,73,NULL,NULL,"camping",73,NULL
27,"Fox 30","Trekkingrugzak junior","Deuter","fox-30.jpg","/deuter-rugzak-fox-30-1213c30001","","94,95","#E2302F","Gratis Camlebak Eddy 0,4l t.w.v. &euro;15,95",NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,76,NULL,NULL,NULL,"camping",76,NULL
28,"Travelset","Minispray 8ml","Care Plus","CARE-PLUS_TRAVELSET_262zc30001_0101_02.jpg","/care-plus-diverse-travelset-minispray-4x8ml-2a23c32001","","9,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,79,79,NULL,"camping",79,NULL
29,"Led Day Light","Zaklamp","Varta","VARTA_ZAKLAMP_2921C32017_0101_02.jpg","/varta-zaklamp-led-day-light-2921c32017","9,95","6","","Gebruik je ecocheques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,82,NULL,NULL,"camping",82,NULL
30,"Darwin 2","Tent","Coleman","COLEMAN_DARWIN-2_1121c50013_5050_01_be.jpg","/coleman-tent-darwin-2-1121c50013","74,95","49","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,20,NULL,NULL,"camping",85,NULL
31,"SEO 3","Hoofdlamp","Led Lenser","LED-LENSER_SEO3_2511C30006.jpg","/led-lenser-hoofdlamp-seo-3-2911c32005","39,95","25","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,88,NULL,NULL,"camping",88,NULL
32,"Flowers","Zwemshort jongens","Rumbl","4T7A0200.jpg","/rumbl-zwemshort-flowers-8422c52033","34,95","25","","",NULL,NULL,1,NULL,NULL,NULL,91,NULL,NULL,NULL,NULL,91,NULL,"beach",91,NULL
33,"Palm tree","Zwemshort jongens","Rumbl","4T7A0198.jpg","/rumbl-zwemshort-palm-tree-8422c52034","34,95","25","","",NULL,NULL,1,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,94,NULL,"beach",94,NULL
34,"Happy Hippie","Bikini meisjes","Lingadore","4T7A0204.jpg","/lingadore-bikini-happy-hippie-8331c52055","24,95","19","","",NULL,NULL,1,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,97,NULL,"beach",97,NULL
35,"Flamingo","UV-shirt meisjes","Molo kids","4T7A0187.jpg","","27,95","19","","",NULL,NULL,1,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,100,NULL,"beach",100,NULL
36,"Shark","UV-shirt jongens","Molo kids","4T7A0186.jpg","/molo-kids-lycra-shark-8441c52002","27,95","19","","",NULL,NULL,1,NULL,NULL,NULL,103,NULL,NULL,NULL,NULL,103,NULL,"beach",103,NULL
37,"Vigga","Jumpsuit meisjes","Name it","4T7A0189.jpg","/name-it-jumpsuit-vigga-5284c52010","","10,95","js1.jpg js2.jpg js3.jpg js4.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,106,106,NULL,NULL,NULL,106,NULL,"beach",106,NULL
38,"Snorkelset","Junior","Speedo","Speedo_snorkelset.jpg","/speedo-lifestyle-speelgoed-glide-junior-snorkel-set-2i21c42001","21","15","","",NULL,NULL,NULL,NULL,NULL,NULL,112,NULL,NULL,NULL,NULL,112,NULL,"beach",109,NULL
39,"Strandspeelgoed","Assortiment","Quut","Quut_speelgoed.jpg","/quut","","7,5","","Vanaf",NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,115,NULL,"beach",112,NULL
40,"Niveajulbo","Gratis Nivea bij aankoop van Julbo zonnebril","","niveajulbo.jpg","/index.cfm/fuseaction/products.search/?searchvalue=julbo&flt_type_gender=junior&filters=type_gender|LIST","","","","",NULL,NULL,NULL,NULL,NULL,NULL,98,NULL,NULL,NULL,NULL,99,NULL,"beach",107,1
41,"Assortiment slippers","Voor kids en teens vanaf €16","","assortiment_teenslippers_NL.jpg","/junior/badmode/sandalen-teenslippers","","","","",NULL,NULL,NULL,NULL,NULL,NULL,118,NULL,NULL,NULL,NULL,122,NULL,"beach",122,1
42,"Cozumel","Hoed","Barts","BARTS_COZUMEL_8634C52008_6464.jpg","","34,99","25","","",NULL,NULL,1,NULL,121,121,NULL,121,121,NULL,NULL,121,NULL,"beach",121,NULL
43,"Ivy Jade","Bikini","Beachlife","ivy-jade-bikini.jpg","","74,9","49","","",NULL,NULL,1,NULL,124,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,"beach",124,NULL
44,"Kachon Tee","T-shirt Heren","J&J Tech","J&J-TECH_KACHON-TEE_8231C52015_7373.jpg","/jack-jones-tech-t-shirt-kachon-8231c52015","19,95","14","#C6CCCA #408DD6 #575E6E","",NULL,NULL,1,NULL,NULL,127,NULL,127,NULL,NULL,NULL,127,NULL,"beach",127,NULL
45,"Happie Hippie","Halterneck Bikini","Lingadore","4T7A0170.jpg","/lingadore-bikini-happie-hippie-8131c52020","69,95","49","","",NULL,NULL,1,NULL,130,NULL,NULL,NULL,NULL,NULL,NULL,130,NULL,"beach",130,NULL
46,"Mahalo","Halterneck strandjurk","Lingadore","4T7A0168.jpg","/lingadore-jurk-mahalo-8154c52003","","39,95","#F24A95 #282325","Slechts",NULL,NULL,NULL,NULL,133,NULL,NULL,NULL,NULL,NULL,NULL,133,NULL,"beach",133,NULL
47,"Boltana","Strandjurk","Protest","4T7A0164.jpg","","49,95","35","","",NULL,NULL,1,NULL,136,NULL,NULL,136,NULL,NULL,NULL,136,NULL,"beach",136,NULL
48,"Yolt","Zwemshort Heren","Protest","PROTEST_YOLT_8222C52003_4110.jpg","","49,95","35","","",NULL,NULL,1,NULL,NULL,139,NULL,NULL,NULL,NULL,NULL,139,NULL,"beach",139,NULL
49,"Assortiment teenslippers","50% op je tweede paar","","reef.jpg","/index.cfm/fuseaction/products.search/?searchvalue=reef","","","","",NULL,NULL,NULL,NULL,142,167,NULL,130,NULL,NULL,NULL,129,NULL,"beach",142,1
50,"Assortiment zonnebescherming","50% op je tweede product","","assortiment_zonnebescherming.jpg","/index.cfm/fuseaction/products.search/?searchvalue=nivea&flt_verzorging_onderhoud=zonnebescherming&filters=verzorging_onderhoud|LIST","","","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,131,NULL,"beach",134,1
51,"Skomer","T-shirt Dames","Vaude","VAUDE_SKOMER_3112C50002_5353.jpg","","","36,95","","",NULL,NULL,NULL,1,148,NULL,NULL,NULL,148,NULL,NULL,NULL,NULL,"2plus1",148,NULL
52,"Masai Mara","T-shirt Dames","Ayacucho","AYACUCHO_MASAI-MARA_-3112C50044_3232.jpg","/ayacucho-t-shirt-masai-mara-dames-3112c40021","","34,95","","",NULL,NULL,NULL,1,151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",151,NULL
53,"Zambezi","T-shirt Dames","Ayacucho","AYACUCHO_ZAMBEZI_3114C50024_0450.jpg","/ayacucho-top-zambesi-dames-3114c40006","","29,95","#1CB3A0 zamb1.jpg zamb2.jpg","",NULL,NULL,NULL,1,154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",154,NULL
54,"Elena","T-shirt Dames","Ayacucho","AYACUCHO_ELENA_-3112C32001_4030.jpg","/ayacucho-t-shirt-elena-3112c32001","","24,95","#DC6A8B polo2.jpg polo3.jpg","",NULL,NULL,NULL,1,157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",157,NULL
55,"Simona","T-shirt Dames","Ayacucho","AYACUCHO_SIMONA_-3114C30012_3535.jpg","/ayacucho-top-simona-3114c30012","","29,95","#DC6A8B polo2.jpg polo3.jpg","",NULL,NULL,NULL,1,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",160,NULL
56,"Betty Polo","Polo Dames","Ayacucho","AYACUCHO_BETTY-POLO_3119C42002_7272.jpg","/ayacucho-polo-betty-3119c42002","","29,95","polo1.jpg polo2.jpg polo3.jpg","",NULL,NULL,NULL,1,163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",163,NULL
57,"City","T-shirt Heren","Sprayway","SPRAYWAY_CITY_3312C50053_2020.jpg","","","44,95","","",NULL,NULL,NULL,1,NULL,166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",166,NULL
58,"Ridge","T-shirt Heren","Sprayway","SPRAYWAY_RIDGE_3312C40002_4040.jpg","/sprayway-t-shirt-ridge-3313c50001","","44,95","","",NULL,NULL,NULL,1,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",169,NULL
59,"Zero Rules","T-shirt Heren","Columbia","COLUMBIA_ZERO-RULES_3312C40087_7272.jpg","/columbia-t-shirt-zero-rules-3312c40087","","34,95","#524F56 #0F61A4","",NULL,NULL,NULL,1,NULL,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",172,NULL
60,"Mountain Tech III","T-shirt Heren","Columbia","COLUMBIA_MOUNTAIN-TECH_3312C30044_4444.jpg","/columbia-t-shirt-mountain-tech-iii-3312c30044","","30","#425374 #6F9CBD","",NULL,NULL,NULL,1,NULL,175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2plus1",175,NULL
